"tags","labelAttribute","description-pt","label-fr","description-fr","label-it","dataType","mappedBy","validationExpression","unique","enumOptions","description-es","description-nl","description-it","rangeMax","label","aggregateable","label-pt","lookupAttribute","description-de","rangeMin","label-xx","nillable","label-de","entity","name","visible","description-xx","description-en","readOnly","partOfAttribute","label-es","idAttribute","expression","refEntity","defaultValue","description","label-nl","label-en"
"","true","","","","","int","","","true","","","","","","id","false","","true","","","","false","","eu_bbmri_eric_biobank_size","id","true","","","true","","","true","","","","Unique ID.","",""
"","false","","","","","string","","","false","","","","","","size","false","","false","","","","false","","eu_bbmri_eric_biobank_size","size","true","","","false","","","false","","","","Size of the collection measured as 10n samples.","",""
"","false","","","","","string","","","true","","","","","","id","false","","true","","","","false","","eu_bbmri_eric_MT_biobanks","id","false","","","true","","","true","","","","Unique biobank ID within BBMRI-ERIC based on MIABIS 2.0 standard (ISO 3166-1 alpha-2 + underscore + biobank national ID or name), prefixed with bbmri-eric:ID: string - MIABIS-2.0-01.","",""
"","true","","","","","string","","","false","","","","","","name","false","","true","","","","false","","eu_bbmri_eric_MT_biobanks","name","true","","","false","","","false","","","","Biobank name according to MIABIS 2.0 - MIABIS-2.0-03.","",""
"","false","","","","","string","","","false","","","","","","acronym","false","","true","","","","true","","eu_bbmri_eric_MT_biobanks","acronym","true","","","false","","","false","","","","Biobank acronym - MIABIS-2.0-02.","",""
"","false","","","","","text","","","false","","","","","","description","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","description","false","","","false","","","false","","","","Biobank description - MIABIS-2.0-08.","",""
"","false","","","","","text","","","false","","","","","","bioresource reference","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","bioresource_reference","false","","","false","","","false","","","","Bioresource reference to be cited when the bioresource (biobank/collection) is used for research.","",""
"","false","","","","","hyperlink","","","false","","","","","","url","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","url","true","","","false","","","false","","","","Biobank URL - MIABIS-2.0-04.","",""
"","false","","","","","string","","","false","","","","","","juridical person","false","","false","","","","false","","eu_bbmri_eric_MT_biobanks","juridical_person","true","","","false","","","false","","","","Juristic person of a biobank according to MIABIS 2.0 - MIABIS-2.0-05.","",""
"","false","","","","","xref","","","false","","","","","","country","false","","false","","","","false","","eu_bbmri_eric_MT_biobanks","country","true","","","false","","","false","","eu_bbmri_eric_countries","","Country hosting the biobank according to MIABIS 2.0 - MIABIS-2.0-06.","",""
"","false","","","","","compound","","","false","","","","","","it support","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","it_support","false","","","false","","","false","","","","","",""
"","false","","","","","bool","","","false","","","","","","it support available","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","it_support_available","true","","","false","it_support","","false","","","","Is IT support available at the biobank?","",""
"","false","","","","","int","","","false","","","","","","it staff size","false","","false","","","","true","","eu_bbmri_eric_MT_biobanks","it_staff_size","true","","","false","it_support","","false","","","","Size of the biobank dedicated IT staff measured as 2n.","",""
